SampleIDC,SampleID,House,HouseColor,Village,VillageColor,Department,DepartmentColor,Country,CountryColor
A9944,A9944,JUT-D-FM,chocolate2,Llano_Santa_María,cyan3,Jutiapa,chocolate2,Guatemala,blue
A9948,A9948,JUT-D-FM,chocolate2,Llano_Santa_María,cyan3,Jutiapa,chocolate2,Guatemala,blue
A9950,A9950,JUT-D-FM,chocolate2,Llano_Santa_María,cyan3,Jutiapa,chocolate2,Guatemala,blue
CHJ0007_L,CHJ0007,CHAP-D-65,chartreuse2,El_Chaperno,cornflowerblue,Jutiapa,chocolate2,Guatemala,blue
CHJ011_A,CHJ0011,CHAP-D-125,white,El_Chaperno,cornflowerblue,Jutiapa,chocolate2,Guatemala,blue
CHJ013_A,CHJ0013,CHAP-D-155,chartreuse4,El_Chaperno,cornflowerblue,Jutiapa,chocolate2,Guatemala,blue
CHJ083_A,CHJ0083,CHAP-D-114-115,chartreuse,El_Chaperno,cornflowerblue,Jutiapa,chocolate2,Guatemala,blue
CHJ155_A,CHJ0155,CHAP-D-54,white,El_Chaperno,cornflowerblue,Jutiapa,chocolate2,Guatemala,blue
CHJ188_A,CHJ0188,CHAP-D-64,darkolivegreen2,El_Chaperno,cornflowerblue,Jutiapa,chocolate2,Guatemala,blue
S174_A,S174,#N/A,white,,white,Sonsonate,green,El_Salvador,green
S234_A,S234,#N/A,white,"Chilguyo, Texistepeque",coral1,Santa_Ana,yellow,El_Salvador,green
S236_A,S236,#N/A,white,"Chilguyo, Texistepeque",coral1,Santa_Ana,yellow,El_Salvador,green
S238_A,S238,#N/A,white,"Chilguyo, Texistepeque",coral1,Santa_Ana,yellow,El_Salvador,green
S239_A,S239,#N/A,white,"Chilguyo, Texistepeque",coral1,Santa_Ana,yellow,El_Salvador,green
S327_A,S327,#N/A,white,"Caserio San Raymundo, Canton Llano",orange,Ahuachapan,aquamarine,El_Salvador,green
S328_A,S328,#N/A,white,"Caserio San Raymundo, Canton Llano",orange,Ahuachapan,aquamarine,El_Salvador,green
S333_A,S333,#N/A,white,"Caserio Sarita Loma, Aldea La Primavera",darkorange,Santa_Ana,yellow,El_Salvador,green
